post_id,topic,topic_name,probability_score,label,text,engagement
113830893,52,Fitness & Gym,0,0,"CW weight loss talk

I’ve officially lost 20 pounds!! 10 more to go! 🎉  

I think my scale is full of shit though because it says my body fat % has stayed the same and my muscle % has dropped? I can visibly see that is not true.",8
69291659,33,Gardening & Plants,0,0,"cleaned up a small border on the lawn near the plum tree yesterday.  Weeded out grass & weeds to prep for planting my rununculus corms today.

But surprise! As I dug the 1st hole I discovered a gladiola bulb multiplied!! I'm so excited! 🌱 so I spread those out instead! Now it will be Gladiola City!",9
59140104,20,Birds & Nature,0,0,"How magnificent the King of all vultures remains, one of four species we observed while in Costa Rica. #bird #birds #vultures

King Vulture
(Sarcoramphus papa)
November 27, 2023
Esquipulas Rainforest Lodge
Puntarenas, Costa Rica",10
622297,31,Academia & Research,0,0,"COS, in collaboration with NASA, invites you to contribute to the Year of Open Science Culminating Conference. Share insights, innovations, and visions to shape the future of open science policies and practices. Submit your session or lightning talk by Jan. 24! bit.ly/3SbdpGF",14
55721941,73,Writing & Authors,0,0,"545 words and that's the end of Nanowrimo this year! Not sure if I'll do next year, but I will do a similar writing challenge again. I ended the month with almost 11k words. Very happy with myself.
#bvm #writing #nanowrimo",13
130614154,78,Higher Education,0,0,"There is distance between sadness and regret. I feel sad about leaving academia, but not regretful of the opportunities I have had because they were part of my growth. We are supposed to grow. It is DESIRABLE to grow.",13
35554283,38,Film Photography,0,0,"Jean Talon public market, Montreal. The hallway leads to the public washrooms. That box under the phone is some sort of non-functioning accessibility device. (Leica M5, 35mm f1.4 Summilux ASPH v1, Fuji Acros 100)",27
16615134,23,Food & Cooking,0,0,"Dunkin Donuts Pretzel Croissant Breakfast Sandwich (2017-2017): An egg, bacon, and cheddar cheese breakfast sandwich, served on a ""pretzel croissant,"" which was essentially just a croissant dipped in baking soda before being baked, then sprinkled with coarse salt",46
132954429,33,Gardening & Plants,0,0,"Today's backyard garden harvest! 🥕🍓🍅🌿🥒🫑

Our peaches seem close, not sure when to pick them! 🍑

Our two pumpkins are doing well, one is orange already! 🎃

Man, I love our garden. It's incredible how much it produces! Gardens really need to replace lawns as the ""default"" thing people use land for. 🌱",20
6811139,48,Video Games,0,1,"I said it on Twitter, I'll say it here 

2024 is going to be the biggest talent drain that games has experienced in generations.  

All the artists, programmers, producers and more with years (decades) of experience who will phase out of the industry rather than deal with this job market.",33
47242478,15,Sports,0,0,"So here are Rachey's much anticipated no-knowledge football predictions for this weekend:

Loopy Lupines 1 - 3 Klippities
Vanilla 3 - 1 Swarovski
Cottage Cheese 2 - 0 Milliners
Gay Couple 1 - 2 Sea Birdies 
Cocks 4 -  0 Shivs
Club Tropicana 0 - 2 Bloke Town
Wayay Man 2 - 0 Bumbles",9
221071824,10,Music,0,1,"Generally I find ""deluxe"" versions of albums a waste of time but the one for ""what's going on"" is pretty amazing. Radically different versions of these songs with full string sections. They really did a lot of experimenting to get that perfect product",15
107701340,23,Food & Cooking,0,0,"Last of the Leftovers — made turkey soup from the bones, neck and various remaining parts with leftover meat, farro, carrots, celery, mushrooms, and miso paste. Topped with air-fried stuffing croutons.",10
42326932,42,Autism & Communication,0,0,"as a grown adult with autism I’m allowed to bully you if you are a grown adult with autism that uses the term “spoons”. I also would do it if I wasn’t allowed because I’m so huge and so strong and so evil, like a chimpanzee",10
43794940,50,Poetry & Literature,0,0,"Added alt-text but the quote fits nicely in the post anyway.

Would love a book nook with that view of the sea.📚💜

BOOKS DON'T OFFER REAL ESCAPE
BUT THEY CAN STOP A MIND
SCRATCHING ITSELF RAW.
- David Mitchell",15
45926666,12,Climate & Energy,0,1,"This article from the Sunday Times warning about the ""Greenhouse Effect "" is nearly 45 years old. Politicians have  known  the  existential  threat  climate  change  poses  for  decades  yet  have  done  little  to nothing. Time to stop talking and take action #cop28",6
53576487,48,Video Games,0,0,"I understand that the culture around video games is smothering. I also understand that a lot of gamer culture is weird as fuck, offensive and impersonal. But I think there’s better ways to vent that frustration than being condescending about someone’s treasured hobby.",23
39201406,78,Higher Education,0,0,Thompson Rivers University's Board of Governors just announced they plan to ignore Senate & proceed with their process for eliminating the Visual Arts program. This seems to have been coordinated with Admin. This is an existential threat to collegial governance at TRU.,6
43997788,23,Food & Cooking,0,0,"I’ve made a very serious veggie stew with beans, potatoes, veggie sausage, roasted garlic and herbs and lemon and a scratch rosemary bread i fermented overnight.

I’m goofily proud of the fact that I’m a decent self taught cook. 

Downton Abbey is aristo-propaganda

This has been a sneak one in post",8
49417992,78,Higher Education,0,0,"So. Much. Data.

The ""useless majors"" thing is the sort of lazy, uncurious, shortsighted, false narrative that, in fact, makes the case for the liberal arts.

Look around. The case for more, not less, liberal arts education is as strong as ever.

news.wisc.edu/new-data-on-...",27
4604262,20,Birds & Nature,0,0,"A short thread - taking a little artistic liberties with the caption 

‘Rainy’ day hummingbirds! 
Five of the feeders around the yard, I counted at least 33 hummers. Mostly Anna’s, one or two Allen’s salted in. 
1 of 2 #Birds #backyardbirds SoCal",40
851519,15,Sports,0,0,Kelce scoring the game winning touchdown on a play where he pushes off the defender but it isn’t called will make for amazing content for the people that I follow who cover conspiracy theories so please let it happen for their sake.,106
51379720,10,Music,0,0,Devo Death is fucking amazing. It's basically deathrock covers of Devo songs and also it's so heavy that some of the songs are just straight up gothic metal. I swear one song even morphs into Venom riffs set to Rozz Williams style vocals. Like a cocktail of all that plus Devo's synthpop structure.,10
